frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,0,0,0.28,1,0.020838,0.036026,-0.999134,0.027967,0.014002,-0.999511,0.024,0.025,-10.2,43.1,263.6,-0.104,0.012,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
2,0,0.037,0.73,0,0,0,0,0,0,0,0,0,-10.4,41.9,263.1,-0.114,0.006,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
3,0,0.074,0.68,0,0,0,0,0,0,0,0,0,-10.1,40.3,267.6,-0.164,0,0.027,0,0,0.72,0,0.45,0.39,0.59,0.61,0,0.13,0,0,0.04,0,1.06,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
4,0,0.111,0.98,1,0.275603,0.154458,-0.948781,-0.080408,0.026599,-0.996407,0.1,0.093,-10.5,34,269.9,-0.219,-0.008,0.038,0,0,1.71,0,0.95,0.8,1.3,1.22,0,0.38,0,0,0.08,0,2.08,0,1.26,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
5,0,0.148,0.98,1,0.267921,0.160886,-0.949912,-0.253373,0.073502,-0.964572,0.008,0.122,-10.3,34.3,272.5,-0.231,-0.012,0.034,0,0,2.84,0,1.45,1.39,2.07,1.82,0,0.66,0,0,0.12,0,3.18,0,1.89,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
6,0,0.185,0.98,1,0.293075,0.159453,-0.942699,-0.260888,0.074433,-0.962495,0.017,0.122,-10,35,275,-0.224,-0.009,0.033,0,0,3.24,0,1.49,1.57,2.3,1.81,0,0.76,0,0,0.08,0,3.16,0,1.88,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
7,0,0.222,0.98,1,0.294466,0.166119,-0.941113,-0.28302,0.09856,-0.954036,0.006,0.139,-10,35.1,274.4,-0.217,-0.007,0.03,0,0,3.31,0,1.52,1.44,2.35,1.82,0,0.68,0,0,0.05,0,3.14,0,1.8,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
8,0,0.259,0.98,1,0.30817,0.140782,-0.940857,-0.18357,0.028657,-0.982589,0.065,0.088,-10.1,36,276.1,-0.22,-0.004,0.032,0,0,2.92,0,1.49,1.12,2.22,1.82,0,0.43,0,0,0.01,0,3.03,0,1.72,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
9,0,0.296,0.98,1,0.292523,0.130697,-0.947285,-0.128283,-0.00124,-0.991737,0.085,0.067,-10.2,36.4,273.5,-0.211,-0.012,0.032,0,0,2.65,0,1.46,0.68,2.15,1.74,0,0.2,0,0,0.01,0,2.99,0,1.61,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
10,0,0.333,0.98,1,0.298594,0.142052,-0.943749,-0.219433,0.083387,-0.972058,0.041,0.117,-11,37.8,275,-0.213,-0.008,0.042,0,0,2.42,0,1.43,0.62,2.14,1.7,0,0.1,0,0,0.01,0,3.01,0,1.62,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
